item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
HyperX Cloud III Wireless – Gaming Headset for PC, PS5, PS4, up to 120-hour Battery, 2.4GHz Wireless, DTS Spatial Audio, 53mm Angled Drivers, Memory Foam, Durable Frame, 10mm Microphone, Black/Red		0906BDQ8RTL	0912-C-77Z46AA	201.59	9	2024-09-06 11:45:48 PDT		y	3			11				B0CBQXGZ85						197029611734			0	DEFAULT	Migrated Template	Active
HyperX Cloud Mini – Wireless Headset. Compatible with PC, Chromebook, Nintendo Switch, PlayStation Controllers, Xbox Controllers, Phones, Laptops, Tablets, Volume Below 85dB, Immersive Sound, White [video game]		0906BDLG3O6	0912-C-7G8F2AA	97.49	10	2024-09-06 12:13:36 PDT		y	3			11				B0D7NVR5SY						197192348000			0	DEFAULT	Migrated Template	Active
HyperX Cloud Mini – Wired Headset Compatible with PC, Chromebook, Nintendo Switch, PlayStation Controllers, Xbox Controllers, Phones, Laptops, Tablets, Volume levels below 85dB, Immersive Sound, Multi [video game]		0906BDOQZIP	0912-C-7G8F3AA	72.49	11	2024-09-06 12:13:36 PDT		y	3			11				B0D8NFNPGB						197192348017			0	DEFAULT	Migrated Template	Active
HyperX Cloud Mini – Wired Headset Compatible with PC, Chromebook, Nintendo Switch, PlayStation and Xbox Controllers, Phones, Laptops, Tablets, Volume Levels Below 85dB, Immersive Sound, Lavender [video game]		0906BDN7H3J	0912-C-7G8F5AA	72.49	11	2024-09-06 12:13:36 PDT		y	3			11				B0D8N6DZDH						197192348031			0	DEFAULT	Migrated Template	Active
Lenovo Legion 2024 Gaming Laptop, 16-Core Intel Core i7-14650HX, 16" WQXGA 165Hz IPS Display, NVIDIA GeForce RTX 4060, 16GB DDR5 1TB SSD, Four-Zone RGB Backlit Keyboard, Wi-Fi 6E, Win11 Home		0906BDL72CP	0912-C-83DG0099CC	2392.74	11	2024-09-06 11:45:48 PDT		y	3			11				B0D9NMXWLJ						757567256745			0	DEFAULT	Migrated Template	Active
TP-Link AX1800 WiFi 6 Smart WiFi Router (Archer AX23) - Dual Band Gigabit Wireless Internet Router, OFDMA, Parental Controls, Long Range Coverage		0906BDMFLDM	0912-C-ARCHER AX23	109.99	11	2024-09-06 11:45:48 PDT		y	3			11				B09Q34MDG8						840030707049			0	DEFAULT	Migrated Template	Active
MSI Aegis R2 A14NUE7 805US - Tower - Core i7 i7-14700F / up to 5.4 GHz - RAM 32 GB - SSD 2 TB - NVMe - GeForce RTX 4070 Super - Gigabit Ethernet, 2.5 Gigabit Ethernet WLAN: - 802.11a/b/g/n/ac		0906BDLOEJX	0912-C-Aegis R2 A14NUE7-805US	3275.99	10	2024-09-06 12:13:36 PDT		y	3			11				B0DCWB54F7						824142356302			0	DEFAULT	Migrated Template	Active
Corsair HS35 - Stereo Gaming Headset – Memory Foam Earcups – Discord Certified – Works with PC, Xbox Series X, Xbox Series S, Xbox One, PS5, PS4, Nintendo Switch and Mobile – Carbon		0906BDK70OB	0912-C-CA-9011195-NA	72.49	10	2024-09-06 11:45:48 PDT		y	3			11				B07QX99XJJ						840006607526			0	DEFAULT	Migrated Template	Active
Corsair Void RGB Elite Wireless Premium Gaming Headset with 7.1 Surround Sound, Carbon		0906BDN2VBK	0912-C-CA-9011201-NA	157.49	11	2024-09-06 11:45:48 PDT		y	3			11				B07X8SJ8HM						840006609841			0	DEFAULT	Migrated Template	Active
CORSAIR HS65 SURROUND Multiplatform Wired Gaming Headset – Dolby Atmos – SonarWorks SoundID – iCUE Compatible – PC, Mac, PS5, PS4, Xbox, Nintendo Switch, Mobile – Carbon		0906BDLA1MU	0912-C-CA-9011270-NA	122.49	11	2024-09-06 11:45:48 PDT		y	3			11				B09YHQ3Y61						840006643791			0	DEFAULT	Migrated Template	Active
